CIR,LSV,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONSABILIDAD,COMENTARIO,MATERIA
CIR  Art. 002 Apt. 1 Opc. 5D,LSV  Art. 010 Apt. 1 Opc. 5D,2010,11,5D,0,LEVE,"COMPORTARSE INDEBIDAMENTE EN LA CIRCULACIÓN CAUSANDO PELIGRO A LAS PERSONAS. (DEBERÁ INDICARSE DETALLADAMENTE EL COMPORTAMIENTO Y/O EL
TIPO DE PELIGRO CAUSADO)","100.0
50.0",CONDUCTOR USUARIO,,COMPORTA MIENTO INDEBIDO
CIR  Art. 002 Apt. 1 Opc. 5E,LSV  Art. 010 Apt. 1 Opc. 5E,2010,11,5E,0,LEVE,"COMPORTARSE INDEBIDAMENTE EN LA CIRCULACIÓN ENTORPECIENDO LA MISMA, CAUSANDO PERJUICIOS Y MOLESTIAS INNECESARIAS A LAS PERSONAS O DAÑOS A LOS BIENES. (DEBERÁ INDICARSE DETALLADAMENTE EL COMPORTAMIENTO Y/O EL TIPO DE PERJUICIO, MOLESTIA O DAÑO CAUSADOS.) ","80.0
40.0",CONDUCTOR USUARIO,"NOTA: TENDRÍAN CABIDA EN ESTE SUPUESTO, POR EJEMPLO, CIRCULAR CON EL VOLUMEN ELEVADO DEL REPRODUCTOR DE SONIDO AL CIRCULAR POR TRAVESÍAS O VÍAS URBANAS, YA QUE TAL CONDUCTA PUEDE ""CAUSAR UNA MOLESTIA INNECESARIA A LAS PERSONAS QUE HABITAN EN LOS INMUEBLES CERCANOS A LA VÍA"".",COMPORTA MIENTO INDEBIDO
CIR  Art. 003 Apt. 1 Opc. 5C,LSV  Art. 010 Apt. 2 Opc. 5C,3010,12,5C,0,GRAVE 076.- M),"CONDUCIR SIN LA DILIGENCIA
,PRECAUCIÓN Y NO DISTRACCIÓN NECESARIOS PARA EVITAR TODO DAÑO PROPIO O AJENO  (DEBERÁ DETALLARSE LA CONDUCTA)","200.0
100.0",CONDUCTOR,,CONDUCC. NEGLIGENT E
CIR  Art. 004 Apt. 2 Opc. 5B,LSV  Art. 012 Apt. 2 Opc. 5B,4012,22,5B,0,LEVE,"DEPOSITAR O ABANDONAR SOBRE LA VÍA OBJETOS O MATERIAS QUE PUEDAN ENTORPECER LA LIBRE CIRCULACIÓN, PARADA O ESTACIONAMIENTO  (DEBERÁ INDICARSE EL OBJETO O MATERIA QUE CAUSE EL ENTORPECIMIENTO)","80.0
40.0",CONDUCTOR USUARIO,"NOTA: HABRÁ QUE TENER EN CUENTA, A EFECTOS DE TRASLADO AL MINISTERIO FISCAL,LOS CASOS EN LOS QUE LOS HECHOS PUDIERAN SER CONSTITUTIVOS DE DELITO PREVISTO EN EL ART. 385  DEL CÓDIGO PENAL POR ORIGINAR UN GRAVE RIESGO PARA LA CIRCULACIÓN COLOCANDO EN LA VÍA OBSTÁCULOS IMPREVISIBLES, DERRAMANDO SUSTANCIAS DESLIZANTES O INFLAMABLES O POR CUALQUIER OTRO
MEDIO",COMPORTA MIENTO INDEBIDO
CIR  Art. 005 Apt. 1 Opc. 5B,LSV  Art. 012 Apt. 3 Opc. 5B,5012,13,5B,0,LEVE,"NO ADOPTAR LAS MEDIDAS NECESARIAS PARA QUE EL RESTO DE USUARIOS PUEDAN ADVERTIR UN OBSTÁCULO O PELIGRO EN LA VÍA POR QUIEN LO HA CREADO. (DEBERÁ INDICARSE EL OBSTÁCULO O
PELIGRO EXISTENTE)","80.0
40.0",CONDUCTOR USUARIO,"NOTA:  PARA ADVERTIR LA PRESENCIA EN LA VÍA DE CUALQUIER OBSTÁCULO O PELIGRO CREADO, EL CAUSANTE DEL MISMO DEBERÁ SEÑALIZARLO DE FORMA EFICAZ, TANTO DE DÍA COMO DE NOCHE (ART. 130.3, 140 Y 173 RGCIR).",SEÑALIZACI ÓN
CIR  Art. 005 Apt. 6 Opc. 5A,LSV  Art. 012 Apt. 3 Opc. 5A,5012,63,5A,0,LEVE,"DETENER, PARAR O ESTACIONAR LOS VEHÍCULOS DESTINADOS A LOS SERVICIOS DE URGENCIA, ASISTENCIA MECÁNICA O DE CONSERVACIÓN DE CARRETERAS EN LUGAR DISTINTO DEL FIJADO POR LOS AGENTES DE LA AUTORIDAD RESPONSABLES
DEL TRÁFICO","80.0
40.0",CONDUCTOR,NOTA: TODAS LAS ACTUACIONES A REALIZAR CON ESTE TIPO DE VEHÍCULOS DEBERÁ REGIRSE POR LOS PRINCIPIOS DE UTILIZACIÓN DE LOS RECURSOS IDÓNEOS Y ESTRICTAMENTE NECESARIOS EN CADA CASO.,PARADA
CIR  Art. 006 Apt. 1 Opc. 5B,LSV  Art. 012 Apt. 4 Opc. 5B,6012,14,5B,4,GRAVE 076.- N),"ARROJAR A LA VÍA O EN SUS INMEDIACIONES CUALQUIER OBJETO QUE PUEDA PRODUCIR ACCIDENTES DE CIRCULACIÓNOBJETO
ARROJADO)","200.0
100.0",CONDUCTOR,"NOTA: HABRÁ QUE TENER EN CUENTA, A EFECTOS DE TRASLADO AL MINISTERIO FISCAL, LOS CASOS EN LOS QUE LOS HECHOS PUDIERAN SER CONSTITUTIVOS DE DELITOS PREVISTOS EN LOS ARTÍCULOS 385 Ó 351 DEL CÓDIGO PENAL.",COMPORTA MIENTO INDEBIDO
CIR  Art. 006 Apt. 1 Opc. 5D,LSV  Art. 012 Apt. 4 Opc. 5D,6012,14,5D,0,GRAVE 076.- N),ARROJAR A LA VÍA O EN SUS INMEDIACIONES CUALQUIER OBJETO QUE PUEDA PRODUCIR ACCIDENTES DE CIRCULACIÓN. (DEBERÁ DETALLARSE EL OBJETO  ARROJADO.),"200.0
100.0",AUTOR PASAJERO,"NOTA: HABRÁ QUE TENER EN CUENTA, A EFECTOS DE TRASLADO AL MINISTERIO FISCAL, LOS CASOS EN LOS QUE LOS HECHOS PUDIERAN SER CONSTITUTIVOS DE DELITOS PREVISTOS EN LOS ARTÍCULOS 385 O 351 DEL CÓDIGO PENAL.",COMPORTA MIENTO INDEBIDO
CIR  Art. 007 Apt. 1 Opc. 5B,LSV  Art. 012 Apt. 7 Opc. 5B,7012,17,5B,0,GRAVE 076.- O),"CIRCULAR CON UN VEHÍCULO CON NIVELES DE EMISIÓN DE RUIDO SUPERIORES A LOS LÍMITES ESTABLECIDOS POR LAS NORMAS QUE REGULAN ESPECÍFICAMENTE LA MATERIA  (LA COMISIÓN DE LOS HECHOS DESCRITOS EN ESTOS SUPUESTOS SE DENUNCIARÁN POR ESTE PRECEPTO, AUNQUE  EN DIRECTA RELACIÓN CON LO DISPUESTO EN EL ART. 11.19 DEL REGLAMENTO GENERAL
DE VEHÍCULOS)","200.0
100.0",TITULAR CONDUCTOR,NOTA: AL PERSEGUIR ESTE TIPO DE INFRACCIÓN DEBERÁ CONTARSE CON EL MEDIO TÉCNICO (SONÓMETRO) QUE PERMITA COMPROBAR LOS NIVELES DE RUIDO DETECTADOS,EMISIONES
CIR  Art. 007 Apt. 1 Opc. 5C,LSV  Art. 012 Apt. 7 Opc. 5C,7012,17,5C,0,GRAVE 076.- O),"CIRCULAR CON UN VEHÍCULO EMITIENDO GASES O HUMOS EN VALORES SUPERIORES A LOS LÍMITES ESTABLECIDOS EN LAS NORMAS REGULADORAS DE LOS VEHÍCULOS  (LA COMISIÓN DE LOS HECHOS DESCRITOS EN ESTOS SUPUESTOS SE DENUNCIARÁN POR ESTE PRECEPTO, AUNQUE  EN DIRECTA RELACIÓN CON LO DISPUESTO EN EL ART. 11.19 DEL REGLAMENTO GENERAL
DE VEHÍCULOS)","200.0
100.0",TITULAR CONDUCTOR,NOTA: AL PERSEGUIR ESTE TIPO DE INFRACCIÓN DEBERÁ CONTARSE CON EL MEDIO TÉCNICO NECESARIO QUE PERMITA COMPROBAR EL NIVEL DE GASES O HUMOS DETECTADOS,EMISIONES
