timestamp,Basilea_Temperature,Basilea_Relative_Humidity,Basilea_Wind_Speed,Basilea_Wind_Direction
20210101T0000,3.2905285,89.0,5.0911684,225.0
20210101T0100,3.3205285,87.0,11.304229,260.83765
20210101T0200,2.3505285,90.0,12.959999,270.0
20210101T0300,2.0205286,88.0,11.5199995,270.0
20210101T0400,1.7105286,86.0,12.245294,271.6847
20210101T0500,1.2505287,86.0,14.044615,268.5312
20210101T0600,0.5705287,88.0,12.979984,273.17984
20210101T0700,-0.28947133,88.0,13.324863,271.54816
20210101T0800,-0.8594713,91.0,12.599999,270.0
20210101T0900,-0.9194713,90.0,11.525623,268.21008
20210101T1000,-0.6194713,89.0,10.08,270.0
20210101T1100,0.29052866,86.0,9.178235,281.30994
20210101T1200,1.3305286,81.0,7.7043357,322.59467
20210101T1300,2.3205285,80.0,12.24,360.0
20210101T1400,3.9205287,80.0,15.273505,351.8699
20210101T1500,4.1505284,76.0,19.110542,356.7603
20210101T1600,4.0605288,76.0,22.366402,3.6913757
20210101T1700,3.3905284,79.0,22.065973,5.617584
20210101T1800,2.2505286,83.0,18.72,360.0
20210101T1900,1.9705287,85.0,18.0036,358.85425
20210101T2000,1.7305287,85.0,16.203999,358.727
20210101T2100,1.5205287,86.0,13.679999,360.0
20210101T2200,1.1205287,90.0,10.446206,358.0251
20210101T2300,0.7505287,91.0,8.825508,348.23172
20210102T0000,0.61052865,91.0,7.0911775,336.0375
20210102T0100,0.53052866,90.0,5.991594,327.26477
20210102T0200,0.050528657,92.0,8.217153,331.1892
20210102T0300,-0.30947134,93.0,5.8603754,317.48956
20210102T0400,-0.56947136,93.0,7.127636,315.0
20210102T0500,-0.7394713,94.0,7.5685663,334.65384
20210102T0600,-0.45947134,94.0,7.8954163,335.77228
20210102T0700,-0.32947135,94.0,7.69592,349.2157
20210102T0800,-0.6094713,94.0,9.9571085,347.4712
20210102T0900,-0.52947134,93.0,11.252519,352.64764
20210102T1000,-0.33947134,91.0,15.745627,349.46082
20210102T1100,0.34052867,86.0,18.36353,358.8767
20210102T1200,1.8605287,79.0,16.071491,15.592804
20210102T1300,3.4005284,71.0,19.386591,15.068481
20210102T1400,5.3305287,62.0,16.075521,34.04593
20210102T1500,5.7005286,60.0,18.161278,39.36931
20210102T1600,5.2005286,62.0,20.188908,39.93637
20210102T1700,4.4605284,64.0,19.296135,36.656097
20210102T1800,3.0805285,70.0,16.263872,27.699463
20210102T1900,1.2305287,83.0,13.627795,12.200455
20210102T2000,1.1105287,85.0,14.917212,8.325638
20210102T2100,0.91052866,88.0,15.5843,6.6325073
20210102T2200,0.55052865,89.0,14.404499,1.4320831
20210102T2300,0.050528657,90.0,13.75558,353.991
20210103T0000,-0.28947133,91.0,12.661564,345.17352
20210103T0100,-0.5594713,92.0,12.768586,338.49857
