fid,X,FECHA,HORA,MES,N,UBICACION,CRUCE,UBICACION_CRUCE,NUCLEO,ALCOHOLEMIA,GRAVEDAD,HERIDO_HOSP-24,HERIDO_HOSP+24,FALLECIDOS,ALCANCE,ATROPELLO,CAIDA,CHOQUE,COLISION,MARCHA_ATRAS,SALIDA_DE_VIA,SIN_CLASIF,VUELCO,AUTOR_DESC,N_VEHÍC,TURISMO,FURGON,CAMION,AUTOBUS,MOTOCICLET,CICLOMOTOR,BICICLETA,VMP,PEATON,ANIMAL,OTROS,DIA_SEMANA,DESNIVEL,TIPO_VIA,SENTIDO_UNICO,CARRILES_SENTIDO,VELOCIDAD_TRAMO,AÑO,Horario_Sol_AMANECER,Horario_Sol_OCASO,Aemet_prec
"1",2.4802182,2020/01/03,13:25:00,ENERO,"25",CL RAMON DE MONTCADA,FALSO,,SANTA PONSA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,"6",,,falso,,,"2020",08:10,17:37,"0,0"
"2",2.5677552,2020/01/03,12:00:00,ENERO,,CL BENITO J. FEIJOO,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:37,"0,0"
"3",2.5720599,2020/01/03,07:30:00,ENERO,,CL JAPO,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:37,"0,0"
"4",2.5386984,2020/01/03,17:20:00,ENERO,"7",AV PLATJA,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:37,"0,0"
"5",2.4764876,2020/01/03,19:27:00,ENERO,,AV SANTA PONSA,VERDADERO,GV PORT,SANTA PONSA,Positivo,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:37,"0,0"
"6",2.5383184,2020/01/05,19:20:00,ENERO,"5",CL JOAN ALCOVER,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:10,17:39,"0,0"
"7",2.4883346,2020/01/09,13:33:00,ENERO,"122",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:10,17:43,"0,0"
"8",2.5935662,2020/01/09,08:40:00,ENERO,,CL ARXIDUC,FALSO,,CAS CATALA-SES ILLETES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:10,17:43,"0,0"
"9",2.4779053,2020/01/10,19:30:00,ENERO,,CL PUIG DE LA SIRVI,VERDADERO,AV BLAI BONET,SANTA PONSA,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:44,"3,8"
"10",2.47784,2020/01/10,19:25:00,ENERO,,CL PUIG DE LA SIRVI,VERDADERO,AV BLAI BONET,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:44,"3,8"
"11",2.4841577,2020/01/10,11:45:00,ENERO,"102",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:44,"3,8"
"12",2.5398143,2020/01/10,15:00:00,ENERO,,CL MARTIN ROS GARCIA,VERDADERO,CL CALA BLANCA,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:10,17:44,"3,8"
"13",2.5306642,2020/01/11,04:27:00,ENERO,,AV PALMERES,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:10,17:45,"0,0"
"14",2.47883818384793,2020/01/11,14:35:00,ENERO,"21",CL RAMON DE MONTCADA,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:10,17:45,"0,0"
"15",2.5346066,2020/01/12,13:45:00,ENERO,"3",CL JAUME I,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:09,17:46,"0,0"
"16",2.5057574,2020/01/12,11:30:00,ENERO,"47",CL TUDO,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:09,17:46,"0,0"
"17",2.5939886,2020/01/12,18:15:00,ENERO,,CL OLIVERA,FALSO,,CAS CATALA-SES ILLETES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:09,17:46,"0,0"
"18",2.4884673,2020/01/12,13:20:00,ENERO,,AV REI JAUME I,VERDADERO,CL RIU SIL,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:09,17:46,"0,0"
"19",2.4891631,2020/01/13,08:30:00,ENERO,"123",AV REI JAUME I,FALSO,,SANTA PONSA,Negativa,Sin Heridos,"0","0","0",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:09,17:47,"0,0"
"20",2.5092275,2020/01/13,17:15:00,ENERO,"61",CL VALENCIA,FALSO,,SON BUGADELLES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",,,,,,"2020",08:09,17:47,"0,0"
"21",2.5648452,2020/01/14,13:00:00,ENERO,,CL BENITO J. FEIJOO,FALSO,,COSTA DEN BLANES,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,"3",,,,,,"2020",08:09,17:48,"0,0"
"22",2.5058504,2020/01/15,14:00:00,ENERO,"11",CL CAN FERRER,FALSO,,SON FERRER,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"3",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"4",,,,,,"2020",08:08,17:49,"0,0"
"23",2.5339875,2020/01/16,11:40:00,ENERO,,CL CONTRALMIRALL FERRAGUT,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"1",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:08,17:50,"0,0"
"24",2.5323096,2020/01/16,10:30:00,ENERO,,AV OLIVERA,VERDADERO,CL MINO,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"5",,,,,,"2020",08:08,17:50,"0,0"
"25",2.5723616,2020/01/17,17:00:00,ENERO,"1",PZ PORTALS,FALSO,,PORTALS NOUS,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:08,17:51,"0,0"
"26",2.5874742,2020/01/17,11:20:00,ENERO,,AV MALLORCA,FALSO,,BENDINAT,Negativa,HERIDO_HOSP-24,"1","0","0",FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:08,17:51,"0,0"
"27",2.4976575,2020/01/17,10:20:00,ENERO,"3",AV PUIG DE SARAGOSSA,FALSO,,GALATZO,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,"2",FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"6",,,,,,"2020",08:08,17:51,"0,0"
"28",2.5378249,2020/01/18,13:40:00,ENERO,"28",PS MAR,FALSO,,PALMANOVA,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"2",VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"7",,,,,,"2020",08:07,17:52,"1,4"
"29",2.5327846,2020/01/19,08:55:00,ENERO,"16",AV OLIVERA,FALSO,,MAGALUF,Negativa,Sin Heridos,"0","0","0",FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,"1",,,,,,"2020",08:07,17:53,"38,6"
