NORMA,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONS,COMENTARIO,MATERIA
CIR,"002
010","1
1",5D,0,Leve,"COMPORTARSEINDEBIDAMENTEENLACIRCULACIÓNCAUSANDOPELIGROALASPERSONAS.(DEBERÁINDICARSEDETALLADAMENTEELCOMPORTAMIENTOY/OEL
TIPODEPELIGROCAUSADO)","100.0
50.0",ConductorUsuario,,COMPORTAMIENTOINDEBIDO
CIR,"002
010","1
1",5E,0,Leve,"COMPORTARSEINDEBIDAMENTEENLACIRCULACIÓNENTORPECIENDOLAMISMA,CAUSANDOPERJUICIOSYMOLESTIASINNECESARIASALASPERSONASODAÑOSALOSBIENES.(DEBERÁINDICARSEDETALLADAMENTEELCOMPORTAMIENTOY/OELTIPODEPERJUICIO,MOLESTIAODAÑOCAUSADOS.) ","80.0
40.0",ConductorUsuario,"NOTA:Tendríancabidaenestesupuesto,porejemplo,circularconelvolumenelevadodelreproductordesonidoalcircularportravesíasovíasurbanas,yaquetalconductapuede""causarunamolestiainnecesariaalaspersonasquehabitanenlosinmueblescercanosalavía"".",COMPORTAMIENTOINDEBIDO
CIR,,,,,,,,,,
CIR,"003
010","1
2",5C,0,Grave076.-M),"CONDUCIRSINLADILIGENCIA
,PRECAUCIÓNYNODISTRACCIÓNNECESARIOSPARAEVITARTODODAÑOPROPIOOAJENO(DEBERÁDETALLARSELACONDUCTA)","200.0
100.0",Conductor,,CONDUCC.NEGLIGENTE
CIR,"004
012","2
2",5B,0,Leve,"DEPOSITAROABANDONARSOBRELAVÍAOBJETOSOMATERIASQUEPUEDANENTORPECERLALIBRECIRCULACIÓN,PARADAOESTACIONAMIENTO(DEBERÁINDICARSEELOBJETOOMATERIAQUECAUSEELENTORPECIMIENTO)","80.0
40.0",ConductorUsuario,"NOTA:Habráquetenerencuenta,aefectosdetrasladoalMinisterioFiscal,loscasosenlosqueloshechospudieranserconstitutivosdedelitoprevistoenelart.385delCódigoPenalpororiginarungraveriesgoparalacirculacióncolocandoenlavíaobstáculosimprevisibles,derramandosustanciasdeslizantesoinflamablesoporcualquierotro
medio",COMPORTAMIENTOINDEBIDO
CIR,"005
012","1
3",5B,0,Leve,"NOADOPTARLASMEDIDASNECESARIASPARAQUEELRESTODEUSUARIOSPUEDANADVERTIRUNOBSTÁCULOOPELIGROENLAVÍAPORQUIENLOHACREADO.(DEBERÁINDICARSEELOBSTÁCULOO
PELIGROEXISTENTE)","80.0
40.0",ConductorUsuario,"NOTA:Paraadvertirlapresenciaenlavíadecualquierobstáculoopeligrocreado,elcausantedelmismodeberáseñalizarlodeformaeficaz,tantodedíacomodenoche(art.130.3,140y173RGCir).",SEÑALIZACiÓN
CIR,"005
012","6
3",5A,0,Leve,"DETENER,PARAROESTACIONARLOSVEHÍCULOSDESTINADOSALOSSERVICIOSDEURGENCIA,ASISTENCIAMECÁNICAODECONSERVACIÓNDECARRETERASENLUGARDISTINTODELFIJADOPORLOSAGENTESDELAAUTORIDADRESPONSABLES
DEL TRÁFICO","80.0
40.0",Conductor,NOTA:Todaslasactuacionesarealizarconestetipodevehículosdeberáregirseporlosprincipiosdeutilizacióndelosrecursosidóneosyestrictamentenecesariosencadacaso.,PARADA
CIR,"006
012","1
4",5B,4,Grave076.-N),"ARROJARALAVÍAOENSUSINMEDIACIONESCUALQUIEROBJETOQUEPUEDAPRODUCIRACCIDENTESDECIRCULACIÓN(DEBERÁDETALLARSEELOBJETO
ARROJADO)","200.0
100.0",Conductor,"NOTA:Habráquetenerencuenta,aefectosdetrasladoalMinisterioFiscal,loscasosenlosqueloshechospudieranserconstitutivosdedelitosprevistosenlosartículos385ó351delCódigoPenal.",COMPORTAMIENTOINDEBIDO
CIR,"006
012","1
4",5D,0,Grave076.-N),"ARROJARALAVÍAOENSUSINMEDIACIONESCUALQUIEROBJETOQUEPUEDAPRODUCIRACCIDENTESDECIRCULACIÓN.(DEBERÁDETALLARSEELOBJETO
                                                                                                                            ARROJADO.)                                                                                                                                       ","200.0
100.0",AutorPasajero,"NOTA:Habráquetenerencuenta,aefectosdetrasladoalMinisterioFiscal,loscasosenlosqueloshechospudieranserconstitutivosdedelitosprevistosenlosartículos385o351delCódigoPenal.",COMPORTAMIENTOINDEBIDO
CIR,"007
012","1
7",5B,0,Grave076.-O),"CIRCULARCONUNVEHÍCULOCONNIVELESDEEMISIÓNDERUIDOSUPERIORESALOSLÍMITESESTABLECIDOSPORLASNORMASQUEREGULANESPECÍFICAMENTELAMATERIA(LACOMISIÓNDELOSHECHOSDESCRITOSENESTOSSUPUESTOSSEDENUNCIARÁNPORESTEPRECEPTO,AUNQUEENDIRECTARELACIÓNCONLODISPUESTOENELART.11.19DELREGLAMENTOGENERAL
DEVEHÍCULOS)","200.0
100.0",TitularConductor,NOTA:Alperseguirestetipodeinfraccióndeberácontarseconelmediotécnico(sonómetro)quepermitacomprobarlosnivelesderuidodetectados,EMISIONES
